=== 3) grid (SimpleBot) ===
Секторов в цепочке: 1 [sector1 (Сектор 1)], команд на сектор: 2.
[00:00:00] ячейка 15/25 (leverage=0.50, profile=1.00) — партия 5/5
[00:00:00] ячейка 16/25 (leverage=0.75, profile=0.00) — партия 1/5
[00:00:00] ячейка 16/25 (leverage=0.75, profile=0.00) — партия 5/5
[00:00:00] ячейка 17/25 (leverage=0.75, profile=0.25) — партия 1/5
[00:00:00] ячейка 17/25 (leverage=0.75, profile=0.25) — партия 5/5
[00:00:00] ячейка 18/25 (leverage=0.75, profile=0.50) — партия 1/5
[00:00:00] ячейка 18/25 (leverage=0.75, profile=0.50) — партия 5/5
[00:00:00] ячейка 19/25 (leverage=0.75, profile=0.75) — партия 1/5
[00:00:00] ячейка 19/25 (leverage=0.75, profile=0.75) — партия 5/5
[00:00:00] ячейка 20/25 (leverage=0.75, profile=1.00) — партия 1/5
[00:00:00] ячейка 20/25 (leverage=0.75, profile=1.00) — партия 5/5
[00:00:00] ячейка 21/25 (leverage=1.00, profile=0.00) — партия 1/5
[00:00:00] ячейка 21/25 (leverage=1.00, profile=0.00) — партия 5/5
[00:00:00] ячейка 22/25 (leverage=1.00, profile=0.25) — партия 1/5
[00:00:00] ячейка 22/25 (leverage=1.00, profile=0.25) — партия 5/5
[00:00:00] ячейка 23/25 (leverage=1.00, profile=0.50) — партия 1/5
[00:00:00] ячейка 23/25 (leverage=1.00, profile=0.50) — партия 5/5
[00:00:00] ячейка 24/25 (leverage=1.00, profile=0.75) — партия 1/5
[00:00:00] ячейка 24/25 (leverage=1.00, profile=0.75) — партия 5/5
[00:00:00] ячейка 25/25 (leverage=1.00, profile=1.00) — партия 1/5
[00:00:00] ячейка 25/25 (leverage=1.00, profile=1.00) — партия 5/5

Leverage Profile  Доля дефолтов  Доля вын.ремонтов  Ср.разброс итоговых счетов  Ср.сходимость  Разброс сходимости
    0.00    0.00          5.7 %              0.0 %                     26,569         75.2 %                   —
    0.00    0.25          5.9 %              0.0 %                     25,683         75.5 %                   —
    0.00    0.50          5.3 %              0.0 %                     29,710         73.9 %                   —
    0.00    0.75          5.8 %              0.0 %                     26,115         75.4 %                   —
    0.00    1.00          6.0 %              0.0 %                     25,181         75.7 %                   —
    0.25    0.00          0.0 %              0.0 %                     24,751         74.7 %                   —
    0.25    0.25          0.0 %              0.0 %                     28,790         73.4 %                   —
    0.25    0.50          0.0 %              0.0 %                     27,967         74.1 %                   —
    0.25    0.75          0.0 %              0.0 %                     24,248         76.2 %                   —
    0.25    1.00          0.0 %              0.0 %                     28,790         74.4 %                   —
    0.50    0.00          0.0 %              0.0 %                     25,435         75.5 %                   —
    0.50    0.25          0.0 %              0.0 %                     26,758         74.1 %                   —
    0.50    0.50          0.0 %              0.0 %                     26,118         74.3 %                   —
    0.50    0.75          0.0 %              0.0 %                     27,909         74.3 %                   —
    0.50    1.00          0.0 %              0.0 %                     26,990         75.2 %                   —
    0.75    0.00          0.0 %              0.0 %                     29,248         74.5 %                   —
    0.75    0.25          0.0 %              0.0 %                     24,985         75.3 %                   —
    0.75    0.50          0.0 %              0.0 %                     26,736         73.9 %                   —
    0.75    0.75          0.0 %              0.0 %                     28,846         73.6 %                   —
    0.75    1.00          0.0 %              0.0 %                     25,189         75.9 %                   —
    1.00    0.00          0.0 %              0.0 %                     27,281         74.2 %                   —
    1.00    0.25          0.0 %              0.0 %                     25,962         73.7 %                   —
    1.00    0.50          0.0 %              0.0 %                     27,557         72.8 %                   —
    1.00    0.75          0.0 %              0.0 %                     27,048         73.6 %                   —
    1.00    1.00          0.0 %              0.0 %                     26,100         74.8 %                   —

JSON-отчёт записан: /Users/yafarkin/Documents/dev/im_prod/docs/rebalance-2sector/reports/step1-grid.json
