=== 3) grid (SimpleBot) ===
Секторов в цепочке: 1 [sector1 (Сектор 1)], команд на сектор: 2.
[00:00:00] ячейка 15/25 (leverage=0.50, profile=1.00) — партия 5/5
[00:00:00] ячейка 16/25 (leverage=0.75, profile=0.00) — партия 1/5
[00:00:00] ячейка 16/25 (leverage=0.75, profile=0.00) — партия 5/5
[00:00:00] ячейка 17/25 (leverage=0.75, profile=0.25) — партия 1/5
[00:00:00] ячейка 17/25 (leverage=0.75, profile=0.25) — партия 5/5
[00:00:00] ячейка 18/25 (leverage=0.75, profile=0.50) — партия 1/5
[00:00:00] ячейка 18/25 (leverage=0.75, profile=0.50) — партия 5/5
[00:00:00] ячейка 19/25 (leverage=0.75, profile=0.75) — партия 1/5
[00:00:00] ячейка 19/25 (leverage=0.75, profile=0.75) — партия 5/5
[00:00:00] ячейка 20/25 (leverage=0.75, profile=1.00) — партия 1/5
[00:00:00] ячейка 20/25 (leverage=0.75, profile=1.00) — партия 5/5
[00:00:00] ячейка 21/25 (leverage=1.00, profile=0.00) — партия 1/5
[00:00:00] ячейка 21/25 (leverage=1.00, profile=0.00) — партия 5/5
[00:00:00] ячейка 22/25 (leverage=1.00, profile=0.25) — партия 1/5
[00:00:00] ячейка 22/25 (leverage=1.00, profile=0.25) — партия 5/5
[00:00:00] ячейка 23/25 (leverage=1.00, profile=0.50) — партия 1/5
[00:00:00] ячейка 23/25 (leverage=1.00, profile=0.50) — партия 5/5
[00:00:00] ячейка 24/25 (leverage=1.00, profile=0.75) — партия 1/5
[00:00:00] ячейка 24/25 (leverage=1.00, profile=0.75) — партия 5/5
[00:00:00] ячейка 25/25 (leverage=1.00, profile=1.00) — партия 1/5
[00:00:00] ячейка 25/25 (leverage=1.00, profile=1.00) — партия 5/5

Leverage Profile  Доля дефолтов  Доля вын.ремонтов  Ср.разброс итоговых счетов  Ср.сходимость  Разброс сходимости
    0.00    0.00          0.0 %              0.0 %                      2,857         75.4 %                   —
    0.00    0.25          0.0 %              0.0 %                      2,699         76.7 %                   —
    0.00    0.50          0.0 %              0.0 %                      3,591         72.2 %                   —
    0.00    0.75          0.0 %              0.0 %                      2,773         76.0 %                   —
    0.00    1.00          0.0 %              0.0 %                      2,591         77.1 %                   —
    0.25    0.00          0.0 %              0.0 %                      2,519         72.1 %                   —
    0.25    0.25          0.0 %              0.0 %                      3,364         69.5 %                   —
    0.25    0.50          0.0 %              0.0 %                      3,182         71.8 %                   —
    0.25    0.75          0.0 %              0.0 %                      2,410         77.8 %                   —
    0.25    1.00          0.0 %              0.0 %                      3,363         72.9 %                   —
    0.50    0.00          0.0 %              0.0 %                      2,727         70.5 %                   —
    0.50    0.25          0.0 %              0.0 %                      2,980         69.7 %                   —
    0.50    0.50          0.0 %              0.0 %                      2,773         71.3 %                   —
    0.50    0.75          0.0 %              0.0 %                      3,206         72.7 %                   —
    0.50    1.00          0.0 %              0.0 %                      2,979         74.8 %                   —
    0.75    0.00          0.0 %              0.0 %                      3,485         64.7 %                   —
    0.75    0.25          0.0 %              0.0 %                      2,601         68.9 %                   —
    0.75    0.50          0.0 %              0.0 %                      2,982         69.2 %                   —
    0.75    0.75          0.0 %              0.0 %                      3,391         70.1 %                   —
    0.75    1.00          0.0 %              0.0 %                      2,596         76.2 %                   —
    1.00    0.00          0.0 %              0.0 %                      3,060         58.0 %                   —
    1.00    0.25          0.0 %              0.0 %                      2,817         60.5 %                   —
    1.00    0.50          0.0 %              0.0 %                      3,180         63.3 %                   —
    1.00    0.75          0.0 %              0.0 %                      2,952         67.1 %                   —
    1.00    1.00          0.0 %              0.0 %                      2,817         70.9 %                   —

JSON-отчёт записан: /Users/yafarkin/Documents/dev/im_prod/docs/rebalance-2sector/reports/step0-grid.json
